color,medidor,repeticion,diametro_mm
azulc,Miguel,4,881
azulo,Miguel,1,752
azulo,Miguel,2,750
azulo,Miguel,3,753
azulo,Miguel,4,755
amarillo,Miguel,1,830
amarillo,Miguel,2,835
amarillo,Miguel,3,834
amarillo,Miguel,4,836
oro,Miguel,1,888
oro,Miguel,2,885
oro,Miguel,3,878
oro,Miguel,4,860
carne,Miguel,1,712
carne,Miguel,2,698
carne,Miguel,3,692
carne,Miguel,4,796
rosa,Miguel,1,795
rosa,Miguel,2,802
rosa,Miguel,3,808
rosa,Miguel,4,782
azulc,Manuel,1,910
azulc,Manuel,2,885
azulc,Manuel,3,880
azulc,Manuel,4,879
amarillo,Manuel,1,870
amarillo,Manuel,2,850
amarillo,Manuel,3,834
amarillo,Manuel,4,831
oro,Manuel,1,900
oro,Manuel,2,891
oro,Manuel,3,870
oro,Manuel,4,870
rojo,Manuel,1,720
rojo,Manuel,2,710
rojo,Manuel,3,710
rojo,Manuel,4,707
rosa,Manuel,1,810
rosa,Manuel,2,810
rosa,Manuel,3,792
rosa,Manuel,4,787
carne,Manuel,1,710
carne,Manuel,2,693
carne,Manuel,3,690
carne,Manuel,4,686
gris,Manuel,1,910
gris,Manuel,2,915
gris,Manuel,3,909
gris,Manuel,4,905
azulo,Manuel,1,761
azulo,Manuel,2,755
azulo,Manuel,3,751
azulo,Manuel,4,750
